Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),sd,cv,1 h,1.5 h,2 h,3 h,4 h,6 h,avg,sd,cv,1 h,1.5 h,2 h,3 h,4 h,6 h,avg,sd,cv
Q0045,P00401,COX1,Cytochrome c oxidase subunit 1,4419,471,0.11,858,8921,NA,NA,NA,NA,4890,4032,0.82,NA,NA,NA,3947,NA,NA,3947,0,0
Q0075,Q9ZZX0,aI5_beta,Intron-encoded DNA endonuclease aI5 beta,932,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932,NA,NA,932,0,0
Q0085,P00854,ATP6,ATP synthase subunit a,1937,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937,NA,NA,1937,0,0
Q0140,P02381,VAR1,"Ribosomal protein VAR1, mitochondrial",674,227,0.34,NA,447,NA,NA,NA,NA,447,0,0,NA,912,NA,891,NA,NA,901,10,0.01
Q0250,P00410,COX2,Cytochrome c oxidase subunit 2,8783,3782,0.43,6484,29948,1266,NA,NA,NA,12566,12475,0.99,2751,2971,NA,13716,NA,566,5001,5118,1.02
R0020C,P03871,REP1,Partitioning protein REP1,2106,7,0,NA,1407,2428,2474,2091,NA,2100,427,0.2,5072,924,NA,343,NA,NA,2113,2106,1
R0040C,P03872,REP2,Partitioning protein REP2,2159,8,0,313,4564,1827,3559,2411,236,2152,1582,0.74,1701,1909,2931,3375,1028,2059,2167,778,0.36
YAL001C,P34111,TFC3,Transcription factor tau 138 kDa subunit,253,18,0.07,492,396,113,139,219,NA,272,148,0.54,399,259,97,227,193,NA,235,98,0.42
YAL003W,P32471,EFB1,Elongation factor 1-beta,2004341,167192,0.08,1707400,2768340,1585810,2044000,2407230,510114,1837149,715999,0.39,1993480,2020570,1556470,2226560,2352430,2879690,2171533,402085,0.19
YAL005C,P10591,SSA1,Heat shock protein SSA1,513934,14636,0.03,626323,1191990,212565,448446,440397,76064,499297,356688,0.71,795206,529040,179077,382965,504386,780748,528570,215492,0.41
YAL007C,P39704,ERP2,Protein ERP2,5978,3325,0.56,2374,9596,639,313,346,NA,2654,3554,1.34,627,6291,NA,29532,NA,763,9303,11901,1.28
YAL012W,P31373,CYS3,Cystathionine gamma-lyase,178771,38006,0.21,69525,271974,119062,231843,120908,31282,140766,85086,0.6,169435,223280,198393,217079,98644,393833,216777,89374,0.41
YAL013W,P31385,DEP1,Transcriptional regulatory protein DEP1,1182,5,0,1236,4131,361,111,NA,99,1188,1529,1.29,1602,1484,1067,983,NA,749,1177,319,0.27
YAL014C,P31377,SYN8,Syntaxin-8,472,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,419,NA,167,831,NA,NA,472,274,0.58
YAL015C,P31378,NTG1,Endonuclease III homolog 1,4135,4055,0.98,7278,9103,NA,NA,NA,NA,8191,913,0.11,NA,NA,NA,80,NA,NA,80,0,0
YAL016W,P31383,TPD3,Protein phosphatase PP2A regulatory subunit A,5328,1074,0.2,1329,17479,718,4599,1136,261,4254,6079,1.43,6365,9833,9082,8872,537,3718,6401,3333,0.52
YAL017W,P31374,PSK1,Serine/threonine-protein kinase PSK1,407,141,0.35,606,341,78,NA,42,NA,266,227,0.85,1469,415,354,286,218,NA,548,465,0.85
YAL019W,P31380,FUN30,ATP-dependent helicase FUN30,510,28,0.06,407,912,75,540,787,172,482,302,0.63,781,698,206,470,NA,NA,539,223,0.41
YAL021C,P31384,CCR4,Glucose-repressible alcohol dehydrogenase transcriptional effector,634,310,0.49,123,1232,104,263,203,24,325,413,1.27,198,639,NA,1996,NA,NA,944,765,0.81
YAL023C,P31382,PMT2,Dolichyl-phosphate-mannose--protein mannosyltransferase 2,7528,943,0.13,17271,26652,2427,2044,2247,184,8471,9943,1.17,9097,13899,620,13804,1349,739,6585,5903,0.9
YAL025C,P10962,MAK16,Protein MAK16,4857,1433,0.3,5942,3838,1605,1293,4439,NA,3424,1755,0.51,3808,5873,1546,12097,NA,8128,6290,3632,0.58
YAL026C,P39524,DRS2,Probable phospholipid-transporting ATPase DRS2,900,484,0.54,NA,514,NA,NA,317,NA,415,98,0.24,NA,NA,NA,1384,NA,NA,1384,0,0
YAL029C,P32492,MYO4,Myosin-4,225,29,0.13,490,707,65,81,168,13,254,256,1.01,282,211,NA,93,NA,NA,196,78,0.4
YAL030W,P31109,SNC1,Synaptobrevin homolog 1,38563,12634,0.33,56137,132523,26687,13732,26907,NA,51197,42971,0.84,38366,36034,8079,31374,15792,NA,25929,11898,0.46
YAL032C,P28004,PRP45,Pre-mRNA-processing protein 45,558,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,NA,NA,558,0,0
YAL035W,P39730,FUN12,Eukaryotic translation initiation factor 5B,41356,13126,0.32,91192,137922,22151,15395,56077,4156,54482,47290,0.87,25218,57501,15527,49543,15653,5943,28231,18869,0.67
YAL036C,P39729,RBG1,Ribosome-interacting GTPase 1,9877,616,0.06,9019,26563,5738,8940,10338,2360,10493,7655,0.73,10487,12108,5988,15020,1855,10107,9261,4263,0.46
YAL038W,P00549,CDC19,Pyruvate kinase 1,2242247,147818,0.07,2352080,5330220,1141300,2296660,2791010,429120,2390065,1539489,0.64,2921790,2630810,1557860,1934470,2157400,1364240,2094428,551190,0.26
YAL039C,P06182,CYC3,Cytochrome c heme lyase,3778,537,0.14,8559,7206,2235,581,2995,NA,4315,3046,0.71,7309,3875,2386,375,NA,2261,3241,2318,0.72
YAL041W,P11433,CDC24,Cell division control protein 24,607,238,0.39,NA,NA,512,468,128,NA,369,172,0.47,1152,597,164,1687,628,NA,846,524,0.62
YAL042W,P39727,ERV46,ER-derived vesicles protein ERV46,6467,951,0.15,12951,20322,3117,1765,6112,245,7419,7080,0.95,5722,10437,678,9645,NA,1095,5516,4105,0.74
