SCER_GENE;SPAR_GENE;SGD;SGD_SYSTEMATIC_ID;STANDARD_NAME;SCER_MAPPABLE_BASES;SPAR_MAPPABLE_BASES;HYBRID_SCER_MRNA_REP1_TOTCOV;HYBRID_SCER_MRNA_REP2_TOTCOV;HYBRID_SPAR_MRNA_REP1_TOTCOV;HYBRID_SPAR_MRNA_REP2_TOTCOV;HYBRID_MRNA_REP1_RAT;HYBRID_MRNA_REP2_RAT;PARENTAL_SCER_MRNA_REP1_TOTCOV;PARENTAL_SCER_MRNA_REP2_TOTCOV;PARENTAL_SPAR_MRNA_REP1_TOTCOV;PARENTAL_SPAR_MRNA_REP2_TOTCOV;PARENTAL_MRNA_REP1_RAT;PARENTAL_MRNA_REP2_RAT;HYBRID_SCER_RIBO_REP1_TOTCOV;HYBRID_SCER_RIBO_REP2_TOTCOV;HYBRID_SPAR_RIBO_REP1_TOTCOV;HYBRID_SPAR_RIBO_REP2_TOTCOV;HYBRID_RIBO_REP1_RAT;HYBRID_RIBO_REP2_RAT;PARENTAL_SCER_RIBO_REP1_TOTCOV;PARENTAL_SCER_RIBO_REP2_TOTCOV;PARENTAL_SPAR_RIBO_REP1_TOTCOV;PARENTAL_SPAR_RIBO_REP2_TOTCOV;PARENTAL_RIBO_REP1_RAT;PARENTAL_RIBO_REP2_RAT;MRNA_CIS_TEST;TRANSL_CIS_TEST;PARENTAL_TEST;MRNA_CIS_MAX_P;MRNA_CIS_DIR;MRNA_CIS_NO_TEST;TRANSL_CIS_MAX_P;TRANSL_CIS_DIR;TRANSL_CIS_NO_TEST;MRNA_TRANS_MAX_P;MRNA_TRANS_DIR;MRNA_TRANS_NO_TEST;TRANSL_TRANS_MAX_P;TRANSL_TRANS_DIR;TRANSL_TRANS_NO_TEST;MRNA_CIS_FDR_ADJ_P;TRANSL_CIS_FDR_ADJ_P;MRNA_TRANS_FDR_ADJ_P;TRANSL_TRANS_FDR_ADJ_P;MRNA_CIS_SCER;MRNA_CIS_SPAR;TRANSL_CIS_SCER;TRANSL_CIS_SPAR;MRNA_TRANS_SCER;MRNA_TRANS_SPAR;TRANSL_TRANS_SCER;TRANSL_TRANS_SPAR;HYBRID_SCER_MRNA_REP1_RPKM;HYBRID_SCER_MRNA_REP2_RPKM;HYBRID_SPAR_MRNA_REP1_RPKM;HYBRID_SPAR_MRNA_REP2_RPKM;HYBRID_SCER_RIBO_REP1_RPKM;HYBRID_SCER_RIBO_REP2_RPKM;HYBRID_SPAR_RIBO_REP1_RPKM;HYBRID_SPAR_RIBO_REP2_RPKM;PARENTAL_SCER_MRNA_REP1_RPKM;PARENTAL_SCER_MRNA_REP2_RPKM;PARENTAL_SPAR_MRNA_REP1_RPKM;PARENTAL_SPAR_MRNA_REP2_RPKM;PARENTAL_SCER_RIBO_REP1_RPKM;PARENTAL_SCER_RIBO_REP2_RPKM;PARENTAL_SPAR_RIBO_REP1_RPKM;PARENTAL_SPAR_RIBO_REP2_RPKM;AFFECTED_BY_PLOIDY;AFFTECTED_BY_MATING_TYPE;TATA;TIROSH_2008_OPN;CDS_PDIV;PROMOTER_PDIV;FIVE_UTR_PDIV;THREE_UTR_PDIV;FIVE_UTR_50BP_PDIV;KA;KS;OMEGA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.143;Spar_12.122;YLR046C;S000004036;NA;744;852;20481;12698;51422,08916;32748,13289;-1,132508874;-1,171191005;5147;6147;75651,4281;112145,6319;-3,681751619;-3,993574509;0;56;12444,84184;7181,836324;-13,40782539;-6,781897102;200;1;25473,78175;33643,02761;-6,790179666;-13,84251199;1;1;1;0,0002;SPAR;NA;0,0002;SPAR;NA;0,0002;SPAR;NA;NA;NA;REPS_DISAGREE;0,000334064;0,000685507;0,000243994;NA;0;1;0;1;0;1;0;0;169,4963346;102,3773417;371,6155876;230,5607442;0;1,242719439;161,6592411;139,1713669;66,52589848;56,51407958;853,8607529;900,3453979;2,528295195;0,012587209;281,2059775;369,7922842;0;0;0;NA;0,167487685;0,56281407;0,46728972;0,454545455;0,636363636;0,123842;0,484605;0,255553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.144;Spar_12.123;YLR047C;S000004037;FRE8;1709;1709;9697;9888;10783,10676;15063,98233;-0,153147526;-0,607302436;5825;6445;6494,108578;5975,809915;-0,156847942;0,109028528;838;1869;550,638869;592,6904924;0,604946696;1,655255356;2000;1363;1111,823766;1597,679944;0,846496031;-0,229037496;1;0;0;0,0002;SPAR;NA;NA;NA;LOW_COV;NA;NA;REPS_DISAGREE;NA;NA;LOW_COV;0,000334064;NA;NA;NA;0;1;0;0;0;0;0;0;34,9363413;34,70626325;38,84951869;52,87326761;5,426943293;18,05615353;3,565952475;5,725848885;32,7765609;25,79569541;36,54155284;23,91779246;11,00673859;7,468891684;6,118776775;8,754877804;0;0;NA;NA;0,100970874;NA;NA;NA;NA;0,0314234;0,455464;0,0689921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.146;Spar_12.125;YLR049C;S000004039;NA;946;931;17023;19698;13016,69363;16340,32186;0,364037174;0,24653869;21866;28382;14045,74004;20059,07105;0,615460941;0,477641354;4549;4594;4660,260465;2859,630828;-0,057912601;0,66067252;8899;9769;8087,931042;7049,225814;0,114797258;0,44763008;1;1;1;0,0002;SCER;NA;NA;NA;REPS_DISAGREE;0,0002;SCER;NA;0,0002;SPAR;NA;0,000334064;NA;0,000243994;0,000633882;1;0;0;0;1;0;0;1;110,7967577;124,9028817;86,08645069;105,2808401;53,22039924;80,17848661;55,40019053;50,71241275;222,273518;205,2193183;145,0789692;147,3762552;88,47504447;96,70776384;81,70685194;70,90781616;0;0;1;NA;0,100708104;0,266009852;0,695652174;NA;NA;0,0332986;0,475587;0,0700158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.147;Spar_12.126;YLR050C;S000004040;NA;392;392;9459;8034;11344,47895;11968,41237;-0,262205425;-0,574982397;8060;13294;17387,20055;23342,41703;-1,109077913;-0,812131982;5127;7078;5995,509297;7609,218584;-0,225726658;-0,104392317;10401;8805;16013,67666;12121,26535;-0,622533727;-0,461100579;1;1;1;0,0002;SPAR;NA;0,7196;SCER;NA;0,0002;SPAR;NA;0,0002;SCER;NA;0,000334064;0,789723434;0,000243994;0,000633882;0;1;0;0;0;1;1;0;148,5734634;122,9383053;178,1895729;183,1423967;144,7540016;298,1140821;169,2741972;320,4851989;197,7235916;231,9722253;426,5334666;407,3109991;249,5512494;210,3515233;384,2162309;289,5771302;0;0;1;NA;0,113402062;NA;NA;0,14516129;NA;0,0299605;0,583815;0,0513184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.148;Spar_12.127;YLR051C;S000004041;FCF2;524;524;29256;24104;26186,12811;26903,37127;0,159923993;-0,158508163;14496;18534;18135,52141;33402,8708;-0,323143392;-0,849763175;12740;8247;9382,039192;6530,683164;0,441351318;0,336589522;6211;7520;10770,3926;10384,71112;-0,794075049;-0,4656036;1;1;1;NA;NA;REPS_DISAGREE;0,001;SCER;NA;0,0002;SPAR;NA;0,925;SPAR;NA;NA;0,002798817;0,000243994;0,986910891;0;0;1;0;0;1;0;0;343,7682388;275,9302366;307,6973822;307,9738442;269,0862267;259,849992;198,1603245;205,7696466;266,0274241;241,9380929;332,8191257;436,0325272;111,4810271;134,396798;193,3174095;185,5946705;0;0;0;NA;0,094946401;0,113861386;0,384615385;0,196969697;NA;0,0441499;0,391518;0,112766;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.149;Spar_12.128;YLR052W;S000004042;IES3;523;523;14513;25224;11335,55254;15161,24615;0,356463194;0,734370777;12222;19182;8165,704945;11839,97061;0,581772412;0,696041015;5474;3589;2946,825596;1925,236123;0,893207793;0,898199281;4424;6098;3606,491678;2833,369235;0,294681388;1,105545005;1;1;1;0,0002;SCER;NA;0,261;SCER;NA;NA;NA;REPS_DISAGREE;0,0002;SPAR;NA;0,000334064;0,353328563;NA;0,000633882;1;0;0;0;0;0;0;1;170,8588957;289,3035284;133,4519136;173,8888062;115,8394353;113,2999634;62,35962481;60,77658548;224,7243363;250,8756895;150,1417627;154,8514644;79,55805344;109,1913158;64,85656819;50,73455474;0;0;0;NA;0,081117021;0,128712871;0,129032258;0,130081301;NA;0,0223058;0,387923;0,0575005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.150;Spar_12.129;YLR053C;S000004043;NA;327;327;29;351;360,0319863;932,9386871;-3,589092255;-1,407752412;139;195;402,7421297;1204,952761;-1,52800731;-2,621247836;0;0;121,0195317;0;-6,930968288;0;0;55;164,3194433;383,259689;-7,369112601;-2,778582905;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0,546049903;6,438739066;6,779179511;17,11369415;0;0;4,095986006;0;4,087676926;4,078995629;11,84373893;25,20511305;0;1,575133271;4,726198103;10,9760925;0;0;NA;NA;0,162576687;0,123762376;0,172897196;0,117647059;0,134615385;0,131036;0,49639;0,263978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.152;Spar_12.131;YLR055C;S000004045;SPT8;1463;1418;30027;29420;26765,35312;27052,24446;0,120815564;0,075972422;21587;24815;12789,01137;20306,41702;0,710139809;0,244191605;14109;10038;6702,465062;5152,778567;1,02866682;0,916840873;18393;21502;5774,654723;6166,352298;1,626106605;1,75674255;1;1;1;0,1032;SCER;NA;0,0002;SCER;NA;0,0002;SCER;NA;0,0032;SCER;NA;0,124808279;0,000685507;0,000243994;0,008019349;0;0;1;0;1;0;1;0;126,3716647;120,6256881;116,2199132;114,4367429;106,734602;113,2819889;52,31293383;59,9955768;141,8918599;116,0209279;86,73018219;97,95428777;118,2439595;137,6375392;38,30191696;40,724379;0;0;0;NA;0,120022124;0,240196078;0,133333333;0,071428571;NA;0,0340606;0,496432;0,0686109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.153;Spar_12.132;YLR056W;S000004046;ERG3;764;764;160353;165029;90769,71715;95356,25871;0,820961481;0,791313641;112611;174189;84534,27387;107572,308;0,413735207;0,695341654;90826;60603;65843,70169;41680,85808;0,464053873;0,539993427;130233;103454;99769,64434;118471,0331;0,384418843;-0,195543159;1;1;1;0,0002;SCER;NA;0,002;SPAR;NA;0,0004;SPAR;NA;0,0002;SPAR;NA;0,000334064;0,005107991;0,000478845;0,000633882;1;0;0;1;0;1;0;1;1292,307366;1295,711672;731,5287915;748,6766022;1315,74024;1309,660608;953,8314303;900,7354942;1417,41483;1559,530054;1064,018022;963,104716;1603,239505;1268,108158;1228,218924;1452,182454;0;0;0;OPN;0,07657247;0,194029851;0,131147541;0,229007634;0,14;0,0129099;0,399737;0,0322961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.154;Spar_12.133;YLR057W;S000004047;MNL2;2081;2081;28395;32303;29894,55675;36583,10639;-0,07424336;-0,179504204;16802;22933;18638,73254;25608,89624;-0,149662325;-0,159213405;4960;4972;3876,658997;4625,606581;0,355445019;0,104162005;4474;4059;6116,097722;6826,526495;-0,450959641;-0,74988328;1;1;1;0,0044;SPAR;NA;0,0016;SCER;NA;NA;NA;REPS_DISAGREE;0,5964;SPAR;NA;0,006309366;0,004185841;NA;0,759206613;0;1;1;0;0;0;0;0;84,01404239;93,11341152;88,45122224;105,4500806;26,37927917;39,44727792;20,61751265;36,6986929;77,64230431;75,3798332;86,12987407;84,17539471;20,22062703;18,26624756;27,64222864;30,72062649;0;0;0;NA;0,118085524;0,15;0,236363636;0,0625;0,24;0,0662792;0,409661;0,16179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.155;Spar_12.134;YLR058C;S000004048;SHM2;556;556;98325;83533;108111,7537;99661,6715;-0,136891865;-0,254689724;80766;127348;24594,11939;27429,63741;1,715393895;2,214927579;89077;91567;113388,2417;100989,2184;-0,348142693;-0,141300148;262605;300778;72825,52367;56068,09833;1,850363993;2,423426069;1;1;1;0,0002;SPAR;NA;NA;NA;REPS_DISAGREE;0,0002;SCER;NA;0,1006;SCER;NA;0,000334064;NA;0,000243994;0,179243651;0;1;0;0;1;0;0;0;1088,858015;901,2073995;1197,241937;1075,206277;1773,144455;2719,081307;2257,064542;2998,846275;1396,893508;1566,692334;425,3691617;337,451728;4442,208292;5066,098666;1231,911598;944,3726541;0;0;1;OPN;0,045422285;0,167464115;0,259259259;0,109375;NA;0,000921961;0,222771;0,0041386;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.156;Spar_12.135;YLR059C;S000004049;REX2;659;659;16581;14139;15497,24459;17222,64366;0,097513207;-0,284608257;11470;16385;12281,46968;15813,82408;-0,098609512;0,051186212;11332;5828;10440,96009;7969,066383;0,118137263;-0,451343339;12614;11227;15347,86281;12722,63692;-0,282991565;-0,18041014;1;1;1;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;0,448;SPAR;NA;NA;NA;NA;0,610167846;0;0;0;0;0;0;0;0;154,9199662;128,6988723;144,7947692;156,7663394;190,3156396;146,0132032;175,35;199,6530799;167,3738166;170,0698828;179,2150351;164,1413005;180,0272018;159,5440734;219,0449339;180,7981936;0;0;0;OPN;0,091470952;0,184079602;0;0,176470588;NA;0,0284178;0,408293;0,0696016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.157;Spar_12.136;YLR060W;S000004050;FRS1;1146;1146;167539;163930;153989,5487;169039,5577;0,121663772;-0,044280733;89879;111475;99317,94142;134104,4575;-0,14406876;-0,266634808;111163;64903;105348,5108;72453,38877;0,077506038;-0,158765687;119396;116445;146703,1186;145021,8798;-0,297142786;-0,316619445;1;1;1;NA;NA;REPS_DISAGREE;0,4054;SPAR;NA;0,0002;SPAR;NA;0,1636;SPAR;NA;NA;0,505663679;0,000243994;0,271223631;0;0;0;0;0;1;0;0;900,1468998;858,0553092;827,352205;884,7939535;1073,566544;935,0571471;1017,406557;1043,825902;754,1940991;665,3639162;833,398295;800,4329849;979,8867358;951,565298;1203,997119;1185,089856;0;0;0;NA;0,069949636;0,188118812;0,111702128;0,128440367;0,08;0,00719253;0,377141;0,0190712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.159;Spar_12.138;YLR063W;S000004053;NA;982;880;13629;17059;10465,7232;15305,15691;0,222756211;-0,001713949;7337;9955;8329,400133;9890,403418;-0,34121839;-0,148828499;7128;4617;4344,601186;5794,859933;0,555924442;-0,485974058;5476;3289;5932,57211;5567,900009;-0,273734513;-0,917524306;1;1;1;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;0,0002;SPAR;NA;0,8544;SPAR;NA;NA;NA;0,000243994;0,954292537;0;0;0;0;0;1;0;0;85,45443213;104,2037967;73,2268533;104,326234;80,33587549;77,62585325;54,64091878;108,7212045;71,84830836;69,34196713;91,02078345;76,87722801;52,44724389;31,36568335;63,4061046;59,25310636;0;0;0;NA;0,101507538;0,63;0,615384615;0,235294118;NA;0,0324133;0,465195;0,0696767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.160;Spar_12.139;YLR064W;S000004054;PER33;528;528;25167;26970;32226,33416;33055,80416;-0,356694278;-0,293538243;14126;18549;24664,27447;32271,77829;-0,804026213;-0,798898595;10386;7440;6968,708031;3061,226234;0,575608905;1,280915647;10694;7417;11591,98982;11200,85825;-0,116316201;-0,594635904;1;1;1;0,0002;SPAR;NA;0,0002;SCER;NA;0,0002;SPAR;NA;0,0812;SPAR;NA;0,000334064;0,000685507;0,000243994;0,14850835;0;1;1;0;0;1;0;0;293,4807467;306,3998057;375,8034681;375,5365571;217,7046591;232,6467624;146,0727131;95,7228208;257,2733463;240,2995513;449,2043344;418,0761143;190,492103;131,5517787;206,4879857;198,6642612;0;0;0;NA;0,070645554;0,113300493;0,238095238;0,117647059;NA;0,0156443;0,346201;0,0451886;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.161;Spar_12.140;YLR065C;S000004055;ENV10;351;351;19035;19012;14542,11841;13748,93578;0,388393707;0,467561308;16581;29542;10354,37024;15894,55506;0,679238889;0,89419294;7147;2770;4936,588395;2175,214426;0,533733058;0,348585996;9184;7798;4607,346469;5954,078977;0,995030534;0,38916851;1;1;1;0,0002;SCER;NA;NA;NA;REPS_DISAGREE;0,0002;SCER;NA;0,294;SPAR;NA;0,000334064;NA;0,000243994;0,441;1;0;0;0;1;0;0;0;333,9087913;324,9093062;255,096418;234,9634893;225,3564503;130,2958708;155,657679;102,3172697;454,2690187;575,7038829;283,6782829;309,7473788;246,0908565;208,0551558;123,4566462;158,8582751;0;0;0;NA;0,100917431;0,174129353;0,2;0,137931034;NA;0,0330557;0,459114;0,0719988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.162;Spar_12.141;YLR066W;S000004056;SPC3;459;459;24263;25180;20216,34154;25546,64022;0,263224099;-0,020854462;19567;34961;14877,20766;26180,02496;0,39529557;0,417266138;8647;6096;10414,7392;4173,024896;-0,268326802;0,546660341;13184;11246;9402,486588;12704,70421;0,487629893;-0,175936107;1;1;1;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;0,0006;SCER;NA;0,5848;SPAR;NA;NA;NA;0,000712427;0,747268848;0;0;0;0;1;0;0;0;325,4722015;329,0671288;271,190006;333,8562587;208,5000201;219,2755823;251,1229834;150,104003;409,940735;520,9997826;311,686689;390,1429396;270,1501593;229,4498413;192,6640815;259,2114854;0;0;0;NA;0,086642599;0,148514851;0,307692308;0,170212766;0,294117647;0,0185291;0,468001;0,039592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.163;Spar_12.142;YLR067C;S000004057;PET309;2136;2136;16248;17648;15311,77357;17184,92911;0,085615316;0,038358593;6307;6950;10757,97848;14566,78815;-0,770286541;-1,067489398;2623;511;3181,805186;1314,402044;-0,278531135;-1,361288102;1388;1393;2430,64735;3027,292799;-0,807887418;-1,119274142;1;0;0;0,4344;SCER;NA;NA;NA;LOW_COV;0,0002;SPAR;NA;NA;NA;LOW_COV;0,479083485;NA;0,000243994;NA;0;0;0;0;0;1;0;0;46,83610283;49,56050333;44,13753246;48,25973277;13,59096737;3,949823159;16,48629573;10,15970182;28,39429556;22,25614476;48,43272881;46,64756056;6,111656498;6,107341941;10,7026525;13,27258599;0;0;NA;DPN;0,103900587;0,24120603;NA;0,045454545;NA;0,0363836;0,489245;0,074367;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.164;Spar_12.143;YLR068W;S000004058;FYV7;359;359;14164;14206;15162,0082;15828,19807;-0,098225397;-0,155986226;6327;7350;6947,951322;15585,3726;-0,135045675;-1,084272783;6071;4685;8431,027372;5053,996818;-0,47370776;-0,10935323;3027;3812;4837,820494;6050,415199;-0,676290215;-0,666346043;1;1;1;0,0116;SPAR;NA;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;0,0534;SCER;NA;0,015818592;NA;NA;0,102100497;0;1;0;0;0;0;0;0;242,9257534;237,3661706;260,0435455;264,4694083;187,1626183;215,4632204;259,9182652;232,4312403;169,4778328;140,0423119;186,1109108;296,9539606;79,30283105;99,43993036;126,7435947;157,831287;0;0;0;NA;0,10989011;0,135678392;0,215686275;0,145454545;0,22;0,0315268;0,603002;0,0522832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.165;Spar_12.144;YLR069C;S000004059;MEF1;1571;1571;46084;47789;38316,13139;35175,75846;0,266307693;0,442086223;14023;19003;27148,28399;35701,1271;-0,953016249;-0,909706919;22411;11687;14595,96401;10050,53895;0,61860306;0,21761168;10524;11157;21056,36295;24212,08679;-1,000504543;-1,117708556;1;1;1;0,0002;SCER;NA;NA;NA;REPS_DISAGREE;0,0002;SPAR;NA;0,0002;SPAR;NA;0,000334064;NA;0,000243994;0,000633882;1;0;0;0;0;1;0;1;180,6159383;182,4707342;150,1721052;134,3091812;157,8840936;122,8244588;102,8270432;105,6251041;85,83694749;82,7393995;166,1788367;155,4433414;63,00505189;66,50795835;126,0601711;144,330596;0;0;0;DPN;0,079649891;0,283653846;0,133333333;0,124137931;NA;0,0134649;0,3892;0,0345964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.167;Spar_12.146;YLR071C;S000004061;RGR1;2202;2202;31308;42415;31539,99219;43134,51945;-0,010650614;-0,024267754;16435;19450;21285,57114;24275,97629;-0,373084342;-0,319744417;8177;5840;7281,341821;4562,104028;0,167345603;0,35619984;9788;6681;9690,579119;10460,19534;0,014429735;-0,646695822;1;1;1;0,6554;SPAR;NA;0,0046;SCER;NA;0,0002;SPAR;NA;NA;NA;REPS_DISAGREE;0,695259425;0,010613659;0,000243994;NA;0;0;1;0;0;1;0;0;87,54273271;115,5429943;88,19177164;117,5022182;41,09888226;43,78784102;36,59694672;34,20596553;71,77313392;60,41832379;92,95601753;75,40944967;41,80684221;28,4136172;41,39073479;44,48615272;0;0;0;NA;0,077586207;0,095477387;0;0,106060606;NA;0,0204726;0,363535;0,0563154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.168;Spar_12.147;YLR072W;S000004062;NA;1709;1685;17136;17038;15209,61573;15141,39639;0,151632213;0,149843322;13910;20214;9973,280912;13192,64388;0,459537587;0,595179329;6665;5673;4978,945232;2893,902047;0,400287636;0,950447811;7545;9055;6604,788014;5906,536426;0,171577622;0,595913533;1;1;1;0,0062;SCER;NA;0,001;SCER;NA;0,0002;SCER;NA;0,0448;SPAR;NA;0,008750886;0,002798817;0,000243994;0,087711628;1;0;1;0;1;0;0;0;61,7375626;59,80231728;55,57790048;53,90194543;43,16297977;54,80607756;32,70304507;28,35553893;78,26986473;80,90522684;56,91774197;53,55478934;41,52292134;49,61908598;36,86631225;32,82731402;0;0;0;NA;0,10430622;0,08040201;0,142857143;0,018518519;NA;0,0237898;0,519514;0,0457924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.169;Spar_12.148;YLR073C;S000004063;RFU1;493;484;22852;21073;18236,66152;18291,5532;0,298882211;0,177627121;9352;14202;11009,15099;15368,08603;-0,26191376;-0,14041628;6185;4386;5520,507636;5196,121579;0,137363989;-0,271058702;4379;3342;5123,779006;6646,782289;-0,253139522;-1,01831038;1;1;1;0,0024;SCER;NA;0,0996;SPAR;NA;0,0002;SPAR;NA;1;SPAR;NA;0,00352953;0,157878016;0,000243994;1;1;0;0;0;0;1;0;0;285,4035593;256,4017054;231,9977517;226,695886;138,850073;146,8857646;126,2363423;177,2506868;182,4177501;197,0466112;218,7348499;217,1904888;83,54082218;63,48365084;99,56707465;128,6081409;0;0;0;NA;0,109634551;0,170731707;0,169491525;0,094339623;0,188679245;0,0391505;0,393634;0,099459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.170;Spar_12.149;YLR074C;S000004064;BUD20;341;347;31057;21278;29580,14865;24841,97376;0,095450779;-0,198243601;16104;28359;23439,59195;41577,31155;-0,516336419;-0,526809717;28773;16898;29312,94756;17285,79805;-0,001657548;-0,007568869;15047;18886;25475,91577;22490,12895;-0,734454958;-0,226798593;1;1;1;NA;NA;REPS_DISAGREE;NA;NA;REPS_DISAGREE;0,0002;SPAR;NA;NA;NA;REPS_DISAGREE;NA;NA;0,000243994;NA;0;0;0;0;0;1;0;0;560,7731507;374,298328;524,8735375;429,4326292;933,8649903;818,1612885;934,9335943;822,4584071;454,1391041;568,8567488;649,5761759;819,5836958;415,0173578;518,6662326;690,5117113;606,9666635;0;0;1;NA;0,103792415;0,269607843;0,208333333;0,333333333;NA;0,0426216;0,418602;0,101819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.171;Spar_12.150;YLR075W;S000004065;RPL10;168;168;482717;411336;516362,2388;430340,7967;-0,097205671;-0,065162119;275323;440738;315134,024;485413,0297;-0,194839729;-0,139291244;319139;230161;333352,3339;218282,4653;-0,062862713;0,076446811;292845;262171;310952,1393;307471,4409;-0,086554994;-0,229943492;1;1;1;0,3052;SPAR;NA;0,7994;SCER;NA;0,207;SPAR;NA;NA;NA;REPS_DISAGREE;0,346288414;0,855079602;0,213186367;NA;0;0;0;0;0;0;0;0;17691,53031;14686,85815;18924,69956;15365,32157;21024,41526;22619,36737;21960,63872;21451,79077;15759,51063;17944,7576;18038,29684;19763,71257;16394,54057;14614,29054;17408,24485;17139,48899;0;0;1;NA;0,022556391;0,251207729;0,148148148;0,123966942;NA;0,00580735;0,0880707;0,0659396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.172;Spar_12.151;YLR077W;S000004067;FMP25;1462;1462;23787;25552;23211,64897;25481,13601;0,035322812;0,004006463;20215;27957;11912,50592;14886,2767;0,762899536;0,909181292;3883;3440;4704,634293;3574,286541;-0,276846003;-0,055230979;5902;5383;4556,13002;4945,259404;0,373322809;0,122340507;1;1;1;0,9326;SCER;NA;0,5464;SPAR;NA;0,0002;SCER;NA;0,0002;SPAR;NA;0,943090741;0,638141235;0,000243994;0,000633882;0;0;0;0;1;0;0;1;100,1784687;104,8380629;97,75577468;104,5465798;29,39499195;38,84803623;35,61469638;40,36416542;132,9645564;130,8005515;78,35473981;69,64743004;37,96842234;34,48096211;29,31024548;31,67700207;0;0;0;NA;0,110793832;NA;NA;0,12716763;NA;0,0454713;0,477873;0,0951536;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.174;Spar_12.153;YLR079W;S000004069;SIC1;721;703;23303;26524;27417,97309;28077,48453;-0,271071503;-0,118586891;30476;46723;21897,04629;33683,71154;0,440444168;0,435595273;6008;6522;7547,584791;5565,041171;-0,365555842;0,192409478;9471;13641;11402,06215;9889,267688;-0,304154878;0,427499123;1;1;1;0,0142;SPAR;NA;NA;NA;REPS_DISAGREE;0,0002;SCER;NA;NA;NA;REPS_DISAGREE;0,019162895;NA;0,000243994;NA;0;1;0;0;1;0;0;0;199,0025581;220,6709761;240,139621;239,5748846;92,22485625;149,3494164;118,8237966;130,6974279;406,4734804;443,2633627;299,5295868;327,7411669;123,5467402;177,1794349;152,5452883;131,7380334;0;0;1;NA;0,114754098;0,064676617;0,146341463;0,092715232;NA;0,0528718;0,312967;0,168937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Scer_12.175;Spar_12.154;YLR080W;S000004070;EMP46;1200;1128;1234;2298;2847,52571;2374,031212;-1,294971724;-0,136207345;3685;5590;1229,01308;1691,915138;1,494115076;1,634329351;196;455;696,8708031;0;-1,914031683;8,743622676;1374;1883;373,4532803;492,5241488;1,787306647;1,843339042;1;0;0;0,3314;SPAR;NA;NA;NA;LOW_COV;0,0002;SCER;NA;NA;NA;LOW_COV;0,373958288;NA;0,000243994;NA;0;0;0;0;1;0;0;0;6,331636914;11,48709572;15,54326869;12,62454518;1,807707471;6,260199172;6,837446144;0;29,53015742;31,86375419;10,47748195;10,25972825;10,76902055;14,69506265;3,113851506;4,089034714;0;0;NA;NA;0,128063241;0,273170732;NA;0,337078652;NA;0,0533117;0,520385;0,102447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
