,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,WGD,Transcription rate,0.1355714285714285,0.0005809016291954,1/2,0.1
1,Mixed,WGD,Translation rate,0.1152959183673469,0.0054962682401858,1/2,0.1
2,Mixed,WGD,Protein abundance,0.094204081632653,0.038670900493531,1/2,0.1
3,Mixed,WGD,Divergence ratio,0.1998163265306122,4.1113542903481466e-08,1/2,0.1
4,No Cost,WGD,Transcription rate,0.1084489795918367,0.0108106931903475,1/2,0.1
5,No Cost,WGD,Translation rate,0.1729489795918367,3.52074008713732e-06,1/2,0.1
6,No Cost,WGD,Protein abundance,0.0858775510204081,0.0749765495504747,1/2,0.1
7,No Cost,WGD,Divergence ratio,0.2233163265306122,4.876756776184266e-10,1/2,0.1
8,ADS,WGD,Transcription rate,0.2646530612244898,5.728750807065809e-14,1/2,0.1
9,ADS,WGD,Translation rate,0.3051122448979592,2.220446049250313e-16,1/2,0.1
10,ADS,WGD,Protein abundance,0.0838775510204081,0.0871034162486067,1/2,0.1
11,ADS,WGD,Divergence ratio,0.434530612244898,2.220446049250313e-16,1/2,0.1
12,Minimal,WGD,Transcription rate,0.2538367346938776,7.146505609512134e-13,1/2,0.1
13,Minimal,WGD,Translation rate,0.3129489795918367,2.220446049250313e-16,1/2,0.1
14,Minimal,WGD,Protein abundance,0.0918469387755102,0.0469328723139386,1/2,0.1
15,Minimal,WGD,Divergence ratio,0.4384795918367347,2.220446049250313e-16,1/2,0.1
16,Mixed,WGD,Transcription rate,0.1208775510204081,0.0030705909804484,1/2,0.1
17,Mixed,WGD,Translation rate,0.1147959183673469,0.0057827196246634,1/2,0.1
18,Mixed,WGD,Protein abundance,0.0973775510204081,0.029566872686505,1/2,0.1
19,Mixed,WGD,Divergence ratio,0.1989795918367347,4.769730876930112e-08,1/2,0.1
20,No Cost,WGD,Transcription rate,0.1047857142857142,0.0152628953754121,1/2,0.1
21,No Cost,WGD,Translation rate,0.1807857142857143,1.0288667741109592e-06,1/2,0.1
22,No Cost,WGD,Protein abundance,0.0863775510204081,0.0721785919467515,1/2,0.1
23,No Cost,WGD,Divergence ratio,0.2298163265306122,1.306945662804537e-10,1/2,0.1
24,ADS,WGD,Transcription rate,0.2609897959183673,1.3677947663381929e-13,1/2,0.1
25,ADS,WGD,Translation rate,0.3049489795918367,2.220446049250313e-16,1/2,0.1
26,ADS,WGD,Protein abundance,0.0860408163265306,0.0740529699595308,1/2,0.1
27,ADS,WGD,Divergence ratio,0.4299591836734694,2.220446049250313e-16,1/2,0.1
28,Minimal,WGD,Transcription rate,0.2465714285714285,3.657851799232503e-12,1/2,0.1
29,Minimal,WGD,Translation rate,0.3169489795918367,2.220446049250313e-16,1/2,0.1
30,Minimal,WGD,Protein abundance,0.0833775510204081,0.0903801151377609,1/2,0.1
31,Minimal,WGD,Divergence ratio,0.4525306122448979,2.220446049250313e-16,1/2,0.1
32,Mixed,WGD,Transcription rate,0.1147755102040816,0.0057947076526276,1/2,0.1
33,Mixed,WGD,Translation rate,0.1082959183673469,0.0109702283838991,1/2,0.1
34,Mixed,WGD,Protein abundance,0.0978775510204081,0.0283195097757975,1/2,0.1
35,Mixed,WGD,Divergence ratio,0.1870714285714285,3.684155115424304e-07,1/2,0.1
36,No Cost,WGD,Transcription rate,0.1038673469387755,0.0166103844426249,1/2,0.1
37,No Cost,WGD,Translation rate,0.1803265306122449,1.1074671470989728e-06,1/2,0.1
38,No Cost,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,1/2,0.1
39,No Cost,WGD,Divergence ratio,0.1978163265306122,5.8573272898598816e-08,1/2,0.1
40,ADS,WGD,Transcription rate,0.2410714285714285,1.217570488876163e-11,1/2,0.1
41,ADS,WGD,Translation rate,0.3169489795918367,2.220446049250313e-16,1/2,0.1
42,ADS,WGD,Protein abundance,0.0833775510204081,0.0903801151377609,1/2,0.1
43,ADS,WGD,Divergence ratio,0.4254795918367346,2.220446049250313e-16,1/2,0.1
44,Minimal,WGD,Transcription rate,0.2630714285714285,8.160139230994899e-14,1/2,0.1
45,Minimal,WGD,Translation rate,0.3074489795918367,2.220446049250313e-16,1/2,0.1
46,Minimal,WGD,Protein abundance,0.1048775510204081,0.0151337056685426,1/2,0.1
47,Minimal,WGD,Divergence ratio,0.435530612244898,2.220446049250313e-16,1/2,0.1
48,Mixed,WGD,Transcription rate,0.0605714285714285,0.3831117334486326,10,0.1
49,Mixed,WGD,Translation rate,0.5267142857142857,2.220446049250313e-16,10,0.1
50,Mixed,WGD,Protein abundance,0.0938775510204081,0.0397338682322312,10,0.1
51,Mixed,WGD,Divergence ratio,0.2010408163265306,3.304273010762415e-08,10,0.1
52,No Cost,WGD,Transcription rate,0.0667653061224489,0.2714875762269501,10,0.1
53,No Cost,WGD,Translation rate,0.528469387755102,2.220446049250313e-16,10,0.1
54,No Cost,WGD,Protein abundance,0.091469387755102,0.0483894152515275,10,0.1
55,No Cost,WGD,Divergence ratio,0.203734693877551,2.0333296713026527e-08,10,0.1
56,ADS,WGD,Transcription rate,0.0642653061224489,0.3133999675787906,10,0.1
57,ADS,WGD,Translation rate,0.5153265306122449,2.220446049250313e-16,10,0.1
58,ADS,WGD,Protein abundance,0.096969387755102,0.0306208183084899,10,0.1
59,ADS,WGD,Divergence ratio,0.1980408163265306,5.630043875548552e-08,10,0.1
60,Minimal,WGD,Transcription rate,0.0625714285714285,0.3442262412816833,10,0.1
61,Minimal,WGD,Translation rate,0.5292142857142857,2.220446049250313e-16,10,0.1
62,Minimal,WGD,Protein abundance,0.097469387755102,0.0293342807894014,10,0.1
63,Minimal,WGD,Divergence ratio,0.2015408163265306,3.0210306700695355e-08,10,0.1
64,Mixed,WGD,Transcription rate,0.0593571428571428,0.4080032678782685,10,0.1
65,Mixed,WGD,Translation rate,0.5187142857142857,2.220446049250313e-16,10,0.1
66,Mixed,WGD,Protein abundance,0.0969591836734693,0.0306474993293631,10,0.1
67,Mixed,WGD,Divergence ratio,0.1914795918367346,1.7548208153250758e-07,10,0.1
68,No Cost,WGD,Transcription rate,0.0760510204081632,0.1513703414442516,10,0.1
69,No Cost,WGD,Translation rate,0.5252142857142857,2.220446049250313e-16,10,0.1
70,No Cost,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,10,0.1
71,No Cost,WGD,Divergence ratio,0.2004795918367347,3.6531190406030596e-08,10,0.1
72,ADS,WGD,Transcription rate,0.0651326530612245,0.298389295900192,10,0.1
73,ADS,WGD,Translation rate,0.519469387755102,2.220446049250313e-16,10,0.1
74,ADS,WGD,Protein abundance,0.0928775510204081,0.0431491175283621,10,0.1
75,ADS,WGD,Divergence ratio,0.1937551020408163,1.188237979121709e-07,10,0.1
76,Minimal,WGD,Transcription rate,0.0815816326530612,0.1030082086780898,10,0.1
77,Minimal,WGD,Translation rate,0.5127142857142857,2.220446049250313e-16,10,0.1
78,Minimal,WGD,Protein abundance,0.0898775510204081,0.0549676557959919,10,0.1
79,Minimal,WGD,Divergence ratio,0.1894795918367346,2.462228892996521e-07,10,0.1
80,Mixed,WGD,Transcription rate,0.0677653061224489,0.2559084879969165,10,0.1
81,Mixed,WGD,Translation rate,0.5212142857142857,2.220446049250313e-16,10,0.1
82,Mixed,WGD,Protein abundance,0.0868775510204081,0.0694697211755124,10,0.1
83,Mixed,WGD,Divergence ratio,0.194234693877551,1.0939532579801181e-07,10,0.1
84,No Cost,WGD,Transcription rate,0.0785510204081632,0.1276275336098435,10,0.1
85,No Cost,WGD,Translation rate,0.5212142857142857,2.220446049250313e-16,10,0.1
86,No Cost,WGD,Protein abundance,0.0923775510204081,0.0449504276168061,10,0.1
87,No Cost,WGD,Divergence ratio,0.1995408163265306,4.31758955254935e-08,10,0.1
88,ADS,WGD,Transcription rate,0.0615306122448979,0.3641303552954872,10,0.1
89,ADS,WGD,Translation rate,0.5098265306122449,2.220446049250313e-16,10,0.1
90,ADS,WGD,Protein abundance,0.0938775510204081,0.0397338682322312,10,0.1
91,ADS,WGD,Divergence ratio,0.2000408163265306,3.9501994897328536e-08,10,0.1
92,Minimal,WGD,Transcription rate,0.0755510204081632,0.156519763183923,10,0.1
93,Minimal,WGD,Translation rate,0.495469387755102,2.220446049250313e-16,10,0.1
94,Minimal,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,10,0.1
95,Minimal,WGD,Divergence ratio,0.188234693877551,3.03448857263966e-07,10,0.1
96,Mixed,WGD,Transcription rate,0.0932857142857142,0.0417254636085179,1,0.1
97,Mixed,WGD,Translation rate,0.0634489795918367,0.3280170165930276,1,0.1
98,Mixed,WGD,Protein abundance,0.0914591836734693,0.048429307874902,1,0.1
99,Mixed,WGD,Divergence ratio,0.1170714285714285,0.0045809002618448,1,0.1
100,No Cost,WGD,Transcription rate,0.0656224489795918,0.2901302293768674,1,0.1
101,No Cost,WGD,Translation rate,0.1237857142857142,0.0022424555125027,1,0.1
102,No Cost,WGD,Protein abundance,0.0981326530612244,0.0277012041917177,1,0.1
103,No Cost,WGD,Divergence ratio,0.0785306122448979,0.127806809533976,1,0.1
104,ADS,WGD,Transcription rate,0.1010306122448979,0.0214699083099723,1,0.1
105,ADS,WGD,Translation rate,0.2494489795918367,1.9275692153541968e-12,1,0.1
106,ADS,WGD,Protein abundance,0.0913775510204081,0.0487495274943088,1,0.1
107,ADS,WGD,Divergence ratio,0.2599489795918367,1.721955911193618e-13,1,0.1
108,Minimal,WGD,Transcription rate,0.0977857142857142,0.0285450678079792,1,0.1
109,Minimal,WGD,Translation rate,0.2579489795918367,2.7688962234151404e-13,1,0.1
110,Minimal,WGD,Protein abundance,0.0963775510204081,0.0322075209261322,1,0.1
111,Minimal,WGD,Divergence ratio,0.2675306122448979,2.5979218776228663e-14,1,0.1
112,Mixed,WGD,Transcription rate,0.0908673469387755,0.0507925669569505,1,0.1
113,Mixed,WGD,Translation rate,0.0488061224489795,0.6557076407750877,1,0.1
114,Mixed,WGD,Protein abundance,0.0949591836734694,0.0363073981373716,1,0.1
115,Mixed,WGD,Divergence ratio,0.1075714285714285,0.0117548180924215,1,0.1
