,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,WGD,Transcription rate,0.1603163265306122,2.2754884156261923e-05,1/2,0.1
1,Mixed,WGD,Translation rate,0.2862959183673469,2.220446049250313e-16,1/2,0.1
2,Mixed,WGD,Protein abundance,0.143204081632653,0.0002267273434016,1/2,0.1
3,Mixed,WGD,Divergence ratio,0.1273367346938775,0.0015122837005471,1/2,0.1
4,No Cost,WGD,Transcription rate,0.211438775510204,4.8870847368931444e-09,1/2,0.1
5,No Cost,WGD,Translation rate,0.3063469387755102,2.220446049250313e-16,1/2,0.1
6,No Cost,WGD,Protein abundance,0.288765306122449,2.220446049250313e-16,1/2,0.1
7,No Cost,WGD,Divergence ratio,0.2535714285714285,7.583933481214444e-13,1/2,0.1
8,ADS,WGD,Transcription rate,0.2191734693877551,1.105499136677679e-09,1/2,0.1
9,ADS,WGD,Translation rate,0.2862959183673469,2.220446049250313e-16,1/2,0.1
10,ADS,WGD,Protein abundance,0.1410510204081632,0.0002972001076912,1/2,0.1
11,ADS,WGD,Divergence ratio,0.4239795918367346,2.220446049250313e-16,1/2,0.1
12,Minimal,WGD,Transcription rate,0.2031734693877551,2.2506135288757892e-08,1/2,0.1
13,Minimal,WGD,Translation rate,0.2967959183673469,2.220446049250313e-16,1/2,0.1
14,Minimal,WGD,Protein abundance,0.1695510204081632,5.898948827631756e-06,1/2,0.1
15,Minimal,WGD,Divergence ratio,0.4132244897959183,2.220446049250313e-16,1/2,0.1
16,Mixed,WGD,Transcription rate,0.1701428571428571,5.395802635810298e-06,1/2,0.1
17,Mixed,WGD,Translation rate,0.2997857142857142,2.220446049250313e-16,1/2,0.1
18,Mixed,WGD,Protein abundance,0.154204081632653,5.331068839353748e-05,1/2,0.1
19,Mixed,WGD,Divergence ratio,0.1113367346938775,0.0081687896031412,1/2,0.1
20,No Cost,WGD,Transcription rate,0.220438775510204,8.624444491900363e-10,1/2,0.1
21,No Cost,WGD,Translation rate,0.3093469387755102,2.220446049250313e-16,1/2,0.1
22,No Cost,WGD,Protein abundance,0.287765306122449,2.220446049250313e-16,1/2,0.1
23,No Cost,WGD,Divergence ratio,0.2444795918367347,5.798250768407343e-12,1/2,0.1
24,ADS,WGD,Transcription rate,0.2151734693877551,2.400829979265495e-09,1/2,0.1
25,ADS,WGD,Translation rate,0.2802959183673469,2.220446049250313e-16,1/2,0.1
26,ADS,WGD,Protein abundance,0.147704081632653,0.0001270586601096,1/2,0.1
27,ADS,WGD,Divergence ratio,0.4074795918367347,2.220446049250313e-16,1/2,0.1
28,Minimal,WGD,Transcription rate,0.2091734693877551,7.473630159182676e-09,1/2,0.1
29,Minimal,WGD,Translation rate,0.2948469387755102,2.220446049250313e-16,1/2,0.1
30,Minimal,WGD,Protein abundance,0.155469387755102,4.481907939068997e-05,1/2,0.1
31,Minimal,WGD,Divergence ratio,0.4133775510204082,2.220446049250313e-16,1/2,0.1
32,Mixed,WGD,Transcription rate,0.1831428571428571,7.029623070309299e-07,1/2,0.1
33,Mixed,WGD,Translation rate,0.2847142857142857,2.220446049250313e-16,1/2,0.1
34,Mixed,WGD,Protein abundance,0.174204081632653,2.9019508196448385e-06,1/2,0.1
35,Mixed,WGD,Divergence ratio,0.117,0.0046148540452262,1/2,0.1
36,No Cost,WGD,Transcription rate,0.2057857142857143,1.398589843937259e-08,1/2,0.1
37,No Cost,WGD,Translation rate,0.2883469387755102,2.220446049250313e-16,1/2,0.1
38,No Cost,WGD,Protein abundance,0.2741020408163265,6.3282712403633915e-15,1/2,0.1
39,No Cost,WGD,Divergence ratio,0.2539795918367347,6.907807659217724e-13,1/2,0.1
40,ADS,WGD,Transcription rate,0.2141734693877551,2.9077621421791373e-09,1/2,0.1
41,ADS,WGD,Translation rate,0.2743469387755102,5.10702591327572e-15,1/2,0.1
42,ADS,WGD,Protein abundance,0.1345510204081632,0.0006561732795463,1/2,0.1
43,ADS,WGD,Divergence ratio,0.4164795918367347,2.220446049250313e-16,1/2,0.1
44,Minimal,WGD,Transcription rate,0.2051734693877551,1.5642582673613962e-08,1/2,0.1
