,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,WGD,Transcription rate,0.1181530612244897,0.0040940242285424,1/2,0.1
1,Mixed,WGD,Translation rate,0.0968979591836734,0.0308087554910586,1/2,0.1
2,Mixed,WGD,Protein abundance,0.0988775510204081,0.0259632439294937,1/2,0.1
3,Mixed,WGD,Divergence ratio,0.2005714285714285,3.5935307507450887e-08,1/2,0.1
4,No Cost,WGD,Transcription rate,0.114469387755102,0.005977125809042,1/2,0.1
5,No Cost,WGD,Translation rate,0.1409489795918367,0.00030100951532,1/2,0.1
6,No Cost,WGD,Protein abundance,0.0858775510204081,0.0749765495504747,1/2,0.1
7,No Cost,WGD,Divergence ratio,0.2190714285714285,1.1281149348008055e-09,1/2,0.1
8,ADS,WGD,Transcription rate,0.2019897959183673,2.7868296670341408e-08,1/2,0.1
9,ADS,WGD,Translation rate,0.2424489795918367,9.0374374650537e-12,1/2,0.1
10,ADS,WGD,Protein abundance,0.0898775510204081,0.0549676557959919,1/2,0.1
11,ADS,WGD,Divergence ratio,0.382530612244898,2.220446049250313e-16,1/2,0.1
12,Minimal,WGD,Transcription rate,0.2236530612244898,4.559204125342831e-10,1/2,0.1
13,Minimal,WGD,Translation rate,0.245204081632653,4.946931753124773e-12,1/2,0.1
14,Minimal,WGD,Protein abundance,0.0926326530612244,0.0440234162434616,1/2,0.1
15,Minimal,WGD,Divergence ratio,0.3802244897959184,2.220446049250313e-16,1/2,0.1
16,Mixed,WGD,Transcription rate,0.1181530612244897,0.0040940242285424,1/2,0.1
17,Mixed,WGD,Translation rate,0.0922959183673469,0.0452506359102276,1/2,0.1
18,Mixed,WGD,Protein abundance,0.0908775510204081,0.0507510565573482,1/2,0.1
19,Mixed,WGD,Divergence ratio,0.2180714285714285,1.3712340152238767e-09,1/2,0.1
20,No Cost,WGD,Transcription rate,0.1176734693877551,0.0043037040928965,1/2,0.1
21,No Cost,WGD,Translation rate,0.1174489795918367,0.0044050993755958,1/2,0.1
22,No Cost,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,1/2,0.1
23,No Cost,WGD,Divergence ratio,0.2123163265306122,4.1412794304918066e-09,1/2,0.1
24,ADS,WGD,Transcription rate,0.2070714285714285,1.104028291010195e-08,1/2,0.1
25,ADS,WGD,Translation rate,0.2159489795918367,2.0685921864327383e-09,1/2,0.1
26,ADS,WGD,Protein abundance,0.0983775510204081,0.0271187866917471,1/2,0.1
27,ADS,WGD,Divergence ratio,0.3489795918367347,2.220446049250313e-16,1/2,0.1
28,Minimal,WGD,Transcription rate,0.1981530612244898,5.5197932891104535e-08,1/2,0.1
29,Minimal,WGD,Translation rate,0.2619489795918367,1.09801057135428e-13,1/2,0.1
30,Minimal,WGD,Protein abundance,0.0873775510204081,0.0668477686548062,1/2,0.1
31,Minimal,WGD,Divergence ratio,0.3734795918367347,2.220446049250313e-16,1/2,0.1
32,Mixed,WGD,Transcription rate,0.1185714285714285,0.0039188125255527,1/2,0.1
33,Mixed,WGD,Translation rate,0.0858061224489795,0.0753833759116431,1/2,0.1
34,Mixed,WGD,Protein abundance,0.1058775510204081,0.0137890185942696,1/2,0.1
35,Mixed,WGD,Divergence ratio,0.1968163265306122,6.981686451190684e-08,1/2,0.1
36,No Cost,WGD,Transcription rate,0.1156530612244897,0.005299804314893,1/2,0.1
37,No Cost,WGD,Translation rate,0.1359489795918367,0.0005551686221224,1/2,0.1
38,No Cost,WGD,Protein abundance,0.1043469387755102,0.015894254346882,1/2,0.1
39,No Cost,WGD,Divergence ratio,0.2235714285714285,4.6339965198427535e-10,1/2,0.1
40,ADS,WGD,Transcription rate,0.2206530612244898,8.269699369733984e-10,1/2,0.1
41,ADS,WGD,Translation rate,0.2329489795918367,6.832756582753062e-11,1/2,0.1
42,ADS,WGD,Protein abundance,0.089469387755102,0.0567733642119197,1/2,0.1
43,ADS,WGD,Divergence ratio,0.3799795918367347,2.220446049250313e-16,1/2,0.1
44,Minimal,WGD,Transcription rate,0.1971530612244898,6.581398281912955e-08,1/2,0.1
45,Minimal,WGD,Translation rate,0.2524489795918367,9.805489753489385e-13,1/2,0.1
46,Minimal,WGD,Protein abundance,0.091969387755102,0.0464689071823453,1/2,0.1
47,Minimal,WGD,Divergence ratio,0.3708163265306122,2.220446049250313e-16,1/2,0.1
48,Mixed,WGD,Transcription rate,0.0556224489795918,0.4901828761136702,10,0.1
49,Mixed,WGD,Translation rate,0.2312142857142857,9.799150380018772e-11,10,0.1
50,Mixed,WGD,Protein abundance,0.0878469387755102,0.0644626264656216,10,0.1
51,Mixed,WGD,Divergence ratio,0.1318367346938775,0.0009032548287364,10,0.1
52,No Cost,WGD,Transcription rate,0.063938775510204,0.3191918518973827,10,0.1
53,No Cost,WGD,Translation rate,0.2183265306122448,1.3046197455679476e-09,10,0.1
54,No Cost,WGD,Protein abundance,0.0949591836734694,0.0363073981373716,10,0.1
55,No Cost,WGD,Divergence ratio,0.1265408163265306,0.0016534865767199,10,0.1
56,ADS,WGD,Transcription rate,0.0540816326530612,0.5262491912387708,10,0.1
57,ADS,WGD,Translation rate,0.1897142857142857,2.366710332157851e-07,10,0.1
58,ADS,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,10,0.1
59,ADS,WGD,Divergence ratio,0.1118367346938775,0.0077760468709903,10,0.1
60,Minimal,WGD,Transcription rate,0.0590510204081632,0.4144340987928244,10,0.1
61,Minimal,WGD,Translation rate,0.2003265306122449,3.753930000183203e-08,10,0.1
62,Minimal,WGD,Protein abundance,0.0913775510204081,0.0487495274943088,10,0.1
63,Minimal,WGD,Divergence ratio,0.1173367346938775,0.0044567903108866,10,0.1
64,Mixed,WGD,Transcription rate,0.0476734693877551,0.683934601875305,10,0.1
65,Mixed,WGD,Translation rate,0.2403265306122449,1.4293677352839039e-11,10,0.1
66,Mixed,WGD,Protein abundance,0.0893469387755102,0.0573244098896297,10,0.1
67,Mixed,WGD,Divergence ratio,0.1298367346938775,0.0011382922015054,10,0.1
68,No Cost,WGD,Transcription rate,0.0617653061224489,0.3595724955000722,10,0.1
69,No Cost,WGD,Translation rate,0.2166326530612244,1.8132277901372613e-09,10,0.1
70,No Cost,WGD,Protein abundance,0.0928775510204081,0.0431491175283621,10,0.1
71,No Cost,WGD,Divergence ratio,0.1298367346938775,0.0011382922015054,10,0.1
72,ADS,WGD,Transcription rate,0.0470816326530612,0.6986054334099272,10,0.1
73,ADS,WGD,Translation rate,0.1838265306122449,6.288332932147256e-07,10,0.1
74,ADS,WGD,Protein abundance,0.0878775510204081,0.0643105903916126,10,0.1
75,ADS,WGD,Divergence ratio,0.1188367346938775,0.0038112931725748,10,0.1
76,Minimal,WGD,Transcription rate,0.0525816326530612,0.5623255135672277,10,0.1
77,Minimal,WGD,Translation rate,0.2013877551020408,3.1053254412327647e-08,10,0.1
78,Minimal,WGD,Protein abundance,0.0938775510204081,0.0397338682322312,10,0.1
79,Minimal,WGD,Divergence ratio,0.122,0.0027222917583502,10,0.1
80,Mixed,WGD,Transcription rate,0.0580510204081632,0.4358225018967212,10,0.1
81,Mixed,WGD,Translation rate,0.2215612244897959,6.912953542936862e-10,10,0.1
82,Mixed,WGD,Protein abundance,0.0849591836734693,0.0803550482531265,10,0.1
83,Mixed,WGD,Divergence ratio,0.129234693877551,0.0012195136816381,10,0.1
84,No Cost,WGD,Transcription rate,0.0597653061224489,0.3995269936622104,10,0.1
85,No Cost,WGD,Translation rate,0.2103877551020408,5.957210724716333e-09,10,0.1
86,No Cost,WGD,Protein abundance,0.0968775510204081,0.0308623678913047,10,0.1
87,No Cost,WGD,Divergence ratio,0.133234693877551,0.0007668018696859,10,0.1
88,ADS,WGD,Transcription rate,0.0595510204081632,0.403972505817074,10,0.1
89,ADS,WGD,Translation rate,0.1883265306122448,2.988155551886251e-07,10,0.1
90,ADS,WGD,Protein abundance,0.0903775510204081,0.0528231168553101,10,0.1
91,ADS,WGD,Divergence ratio,0.116234693877551,0.0049933444844466,10,0.1
92,Minimal,WGD,Transcription rate,0.0516224489795918,0.5857878519042854,10,0.1
93,Minimal,WGD,Translation rate,0.1808877551020408,1.0121499215420826e-06,10,0.1
94,Minimal,WGD,Protein abundance,0.0903775510204081,0.0528231168553101,10,0.1
95,Minimal,WGD,Divergence ratio,0.1163367346938775,0.0049412923366544,10,0.1
96,Mixed,WGD,Transcription rate,0.0871224489795918,0.0681747213019731,1,0.1
97,Mixed,WGD,Translation rate,0.0619489795918367,0.3560433636056818,1,0.1
98,Mixed,WGD,Protein abundance,0.0813775510204081,0.1045354884508753,1,0.1
99,Mixed,WGD,Divergence ratio,0.1310714285714285,0.0009872525367072,1,0.1
100,No Cost,WGD,Transcription rate,0.0851530612244897,0.0791920741644495,1,0.1
101,No Cost,WGD,Translation rate,0.0989489795918367,0.0258017842315898,1,0.1
102,No Cost,WGD,Protein abundance,0.0847653061224489,0.0815294081891567,1,0.1
103,No Cost,WGD,Divergence ratio,0.1374795918367347,0.0004613906674778,1,0.1
104,ADS,WGD,Transcription rate,0.125469387755102,0.0018629914683579,1,0.1
105,ADS,WGD,Translation rate,0.1779489795918367,1.616394898040774e-06,1,0.1
